primary_id	station_name	files
-1	nan	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051886.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_023146.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_058321.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_032217.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_021965.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_030858.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_062056.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_054765.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076827.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_038341.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_067475.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_056374.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076749.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052707.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_085486.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089671.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063478.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089595.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091941.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089043.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_087400.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_044385.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076730.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_055279.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096535.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_020047.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076723.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053942.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_072252.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_070489.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051567.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053821.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052633.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_057206.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_070454.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_094047.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_020274.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_069015.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_056856.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_030669.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048881.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063737.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060580.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053853.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_097450.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_067633.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052657.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096947.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052856.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053868.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089022.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025954.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063013.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_070165.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053887.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_067441.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025173.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035225.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_047963.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_058626.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_080081.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_036778.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_089593.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_065536.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089557.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096853.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076151.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091764.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035671.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_087127.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048907.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_094650.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_032186.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063641.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_097404.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_050834.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_087673.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063818.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035756.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089522.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_062055.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071916.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_055299.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025621.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096801.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096845.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051706.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076648.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053231.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_065333.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_085295.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060625.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_057606.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_058647.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091931.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_054027.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060608.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_087281.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096881.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025594.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051701.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076713.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071920.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_030969.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071826.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096655.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_036622.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_054266.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_032195.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091928.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_093944.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_099877.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_056533.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053068.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035394.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063766.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071146.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_070204.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_023074.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035361.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_029854.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_032227.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048811.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051855.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_055248.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_054339.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_057089.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052391.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025822.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060545.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_020357.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_057666.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_030565.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048910.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063624.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051232.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_025902.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_059012.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_046767.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_058005.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_037260.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_076370.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053698.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_021504.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051848.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053745.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063799.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_089001.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048864.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091952.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091949.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051895.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_050838.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_062124.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096645.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053513.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048849.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051711.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071098.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_096273.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_078801.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_097460.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053546.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_050873.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060678.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_037189.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091946.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048851.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_054449.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_072433.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_052313.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_082107.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_060535.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_021358.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_031883.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_088967.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048866.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_030469.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063619.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_053446.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_062059.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_046902.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051628.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_051346.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_078810.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_058040.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048913.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063710.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_059096.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_021647.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_048875.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_091945.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_048858.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_072232.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_085543.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_035108.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_097120.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_062336.nc', '/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_063676.nc']
0-124-0-73033	Vernon UA, BC	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_071203.nc']
0-20000-0-01002	VERLEGENHUKEN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001020.nc']
0-20000-0-01007	NY-ALESUND	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001004.nc']
0-20000-0-01013	ISFJORD RADIO	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001005.nc']
0-20000-0-01025	TROMSO/LANGNES	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001030.nc']
0-20000-0-01028	BJORNOYA (1028-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001028.nc']
0-20000-0-01152	BODO VI	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001152.nc']
0-20000-0-01241	ORLAND III (1241-0)	['/raid60/scratch/leo/scratch/ncar/rda/UADB_trhc_001241.nc']
0-20000-0-01384	OSLO/GARDERMOEN	['/raid60/scratch/leo/scratch/ncar/rda/UADB_windc_001384.nc']
