primary_id	file
0-124-0-73033	CC_CA__Network_M__Code_000__StationId_71115__Latitude_50.233__Longitude_-119.283__Elev_556.0__dummy_nan__StationName_VERNON AUTO__From_1972__To_1993__Nrec_15732__
0-20000-0-01002	CC_JN__Network_M__Code_000__StationId_01020__Latitude_80.05__Longitude_18.3__Elev_7.0__dummy_nan__StationName_KINNVIKA STATION__From_1957__To_1958__Nrec_259__
0-20000-0-01013	CC_JN__Network_M__Code_000__StationId_01005__Latitude_78.0667__Longitude_13.6333__Elev_9.0__dummy_nan__StationName_ISFJORD RADIO__From_1957__To_1961__Nrec_1297__
0-20000-0-01025	CC_NO__Network_M__Code_000__StationId_01030__Latitude_69.7__Longitude_19.02__Elev_12.0__dummy_nan__StationName_TROMSO__From_1939__To_1959__Nrec_3783__
0-20000-0-01152	CC_NO__Network_M__Code_000__StationId_01152__Latitude_67.2669__Longitude_14.3586__Elev_11.0__dummy_nan__StationName_BODO VI__From_1942__To_2014__Nrec_38387__
0-20000-0-01192	CC_NO__Network_X__Code_UAC__StationId_04178__Latitude_68.47__Longitude_17.5__Elev_23.0__dummy_nan__StationName_NARVIK__From_1940__To_1941__Nrec_128__
0-20000-0-01317	CC_NO__Network_X__Code_UAC__StationId_04176__Latitude_60.38__Longitude_5.33__Elev_36.0__dummy_nan__StationName_BERGEN__From_1940__To_1942__Nrec_179__
0-20000-0-01384	GARDERMOEN__From_1949__To_2001__Nrec_27726__
0-20000-0-01400	CC_NO__Network_M__Code_000__StationId_01400__Latitude_56.5422__Longitude_3.2236__Elev_52.0__dummy_nan__StationName_EKOFISK__From_1994__To_2019__Nrec_15132__
0-20000-0-01466	CC_NO__Network_X__Code_UAE__StationId_05479__Latitude_59.97__Longitude_11.03__Elev_106.0__dummy_nan__StationName_KJELLER__From_1930__To_1944__Nrec_1688__
0-20000-0-02185	CC_SW__Network_M__Code_000__StationId_02185__Latitude_65.5433__Longitude_22.1144__Elev_17.0__dummy_nan__StationName_LULEA-KALLAX__From_1949__To_2019__Nrec_41161__
0-20000-0-02226	FROSON__From_1949__To_1983__Nrec_16859__
0-20000-0-02365	CC_SW__Network_M__Code_000__StationId_02365__Latitude_62.5317__Longitude_17.4361__Elev_3.9__dummy_nan__StationName_SUNDSVALL HARNOSAND__From_1965__To_2020__Nrec_51732__
0-20000-0-02464	BROMMA__From_1949__To_1995__Nrec_41574__
0-20000-0-02515	CC_SW__Network_M__Code_000__StationId_02515__Latitude_58.183__Longitude_12.15__Elev_20.0__dummy_nan__StationName_TORPABRON__From_1977__To_1977__Nrec_288__
0-20000-0-02527	LANDVETTER__From_1977__To_2020__Nrec_37383__
0-20000-0-02531	TORSLANDA__From_1949__To_1977__Nrec_20557__
0-20000-0-02591	CC_SW__Network_M__Code_000__StationId_02591__Latitude_57.65__Longitude_18.35__Elev_45.0__dummy_nan__StationName_VISBY AEROLOGISKA STATION__From_1977__To_2020__Nrec_28808__
