0-124-0-73033	UADB_windc_071203.nc
0-20000-0-01002	UADB_trhc_001020.nc
0-20000-0-01007	UADB_trhc_001004.nc
0-20000-0-01013	UADB_trhc_001005.nc
0-20000-0-01025	UADB_trhc_001030.nc
0-20000-0-01028	UADB_trhc_001028.nc
0-20000-0-01152	UADB_trhc_001152.nc
0-20000-0-01241	UADB_trhc_001241.nc
0-20000-0-01384	UADB_windc_001384.nc
0-20000-0-01400	UADB_windc_001400.nc
0-20000-0-01415	UADB_windc_001415.nc
0-20000-0-02186	UADB_windc_002185.nc
0-20000-0-02226	UADB_windc_002225.nc
0-20000-0-02365	UADB_windc_002365.nc
0-20000-0-02464	UADB_windc_002465.nc
0-20000-0-02531	UADB_windc_002527.nc
0-20000-0-02548	UADB_windc_002313.nc
0-20000-0-02591	UADB_windc_002591.nc
0-20000-0-02836	UADB_windc_002836.nc
0-20000-0-02935	UADB_windc_002935.nc
0-20000-0-02963	UADB_windc_002963.nc
0-20000-0-02974	UADB_windc_002974.nc
0-20000-0-03005	UADB_windc_003005.nc
0-20000-0-03023	UADB_windc_003023.nc
0-20000-0-03026	UADB_windc_003026.nc
0-20000-0-03066	UADB_trhc_003066.nc
0-20000-0-03091	UADB_trhc_003091.nc
0-20000-0-03171	UADB_windc_003171.nc
0-20000-0-03214	UADB_windc_003213.nc
0-20000-0-03238	UADB_windc_003238.nc
0-20000-0-03240	UADB_windc_003240.nc
0-20000-0-03257	UADB_windc_003257.nc
0-20000-0-03316	UADB_windc_003322.nc
0-20000-0-03354	UADB_windc_003354.nc
0-20000-0-03377	UADB_windc_003377.nc
0-20000-0-03410	UADB_windc_003317.nc
0-20000-0-03414	UADB_windc_003414.nc
0-20000-0-03469	UADB_windc_003470.nc
0-20000-0-03482	UADB_windc_003476.nc
0-20000-0-03488	UADB_windc_003496.nc
0-20000-0-03502	UADB_windc_003502.nc
0-20000-0-03503	UADB_windc_003501.nc
0-20000-0-03590	UADB_windc_003590.nc
0-20000-0-03649	UADB_windc_003649.nc
0-20000-0-03693	UADB_windc_003693.nc
0-20000-0-03743	UADB_windc_003743.nc
0-20000-0-03769	UADB_windc_003774.nc
0-20000-0-03808	UADB_windc_003808.nc
0-20000-0-03809	UADB_trhc_003807.nc
0-20000-0-03882	UADB_windc_003882.nc
0-20000-0-03917	UADB_windc_003917.nc
0-20000-0-03953	UADB_windc_003953.nc
0-20000-0-04018	UADB_windc_004018.nc
0-20000-0-04089	UADB_windc_004089.nc
0-20000-0-04202	UADB_windc_004202.nc
0-20000-0-04220	UADB_windc_004220.nc
0-20000-0-04231	UADB_windc_004231.nc
0-20000-0-04270	UADB_windc_004270.nc
0-20000-0-04312	UADB_windc_004310.nc
0-20000-0-04320	UADB_windc_004320.nc
0-20000-0-04339	UADB_windc_004339.nc
0-20000-0-04360	UADB_windc_004360.nc
0-20000-0-06011	UADB_windc_006011.nc
0-20000-0-06030	UADB_windc_006030.nc
0-20000-0-06060	UADB_windc_006060.nc
0-20000-0-06081	UADB_windc_006086.nc
0-20000-0-06096	UADB_windc_006096.nc
0-20000-0-06180	UADB_windc_006181.nc
0-20000-0-06215	UADB_windc_006210.nc
0-20000-0-06242	UADB_windc_006235.nc
0-20000-0-06260	UADB_windc_006260.nc
0-20000-0-06391	UADB_trhc_010404.nc
0-20000-0-06400	UADB_windc_006400.nc
0-20000-0-06418	UADB_windc_006410.nc
0-20000-0-06447	UADB_windc_006458.nc
0-20000-0-06450	UADB_windc_006450.nc
0-20000-0-06451	UADB_windc_006451.nc
0-20000-0-06456	UADB_windc_006456.nc
0-20000-0-06476	UADB_windc_006476.nc
0-20000-0-06478	UADB_windc_006470.nc
0-20000-0-06484	UADB_windc_006480.nc
0-20000-0-06490	UADB_windc_006490.nc
0-20000-0-06496	UADB_windc_006496.nc
0-20000-0-06590	UADB_windc_006590.nc
0-20000-0-06610	UADB_windc_006610.nc
0-20000-0-06621	UADB_trhc_010934.nc
0-20000-0-06670	UADB_windc_006670.nc
0-20000-0-06700	UADB_windc_006700.nc
0-20000-0-07005	UADB_windc_007005.nc
0-20000-0-07037	UADB_windc_007036.nc
0-20000-0-07072	UADB_windc_007070.nc
0-20000-0-07108	UADB_windc_007110.nc
0-20000-0-07130	UADB_windc_007130.nc
0-20000-0-07139	UADB_windc_007139.nc
0-20000-0-07145	UADB_windc_007145.nc
0-20000-0-07180	UADB_windc_007180.nc
0-20000-0-07190	UADB_windc_007190.nc
0-20000-0-07222	UADB_windc_007222.nc
0-20000-0-07240	UADB_windc_007240.nc
0-20000-0-07255	UADB_windc_007255.nc
0-20000-0-07266	UADB_windc_007265.nc
0-20000-0-07280	UADB_windc_007280.nc
0-20000-0-07354	UADB_windc_007354.nc
0-20000-0-07412	UADB_windc_007412.nc
0-20000-0-07434	UADB_windc_007435.nc
0-20000-0-07471	UADB_windc_007470.nc
0-20000-0-07480	UADB_windc_007481.nc
0-20000-0-07502	UADB_windc_007502.nc
0-20000-0-07510	UADB_windc_007510.nc
0-20000-0-07535	UADB_windc_007535.nc
0-20000-0-07558	UADB_windc_007558.nc
0-20000-0-07577	UADB_windc_007577.nc
0-20000-0-07591	UADB_windc_007591.nc
0-20000-0-07602	UADB_windc_007602.nc
0-20000-0-07603	UADB_windc_007603.nc
0-20000-0-07607	UADB_windc_007607.nc
0-20000-0-07627	UADB_windc_007627.nc
0-20000-0-07630	UADB_windc_007630.nc
0-20000-0-07645	UADB_windc_007645.nc
0-20000-0-07650	UADB_windc_007650.nc
0-20000-0-07661	UADB_windc_007660.nc
0-20000-0-07690	UADB_windc_007690.nc
0-20000-0-07747	UADB_windc_007747.nc
0-20000-0-07761	UADB_windc_007761.nc
0-20000-0-08001	UADB_windc_008001.nc
0-20000-0-08023	UADB_windc_008023.nc
0-20000-0-08055	UADB_windc_008055.nc
0-20000-0-08084	UADB_windc_008084.nc
0-20000-0-08140	UADB_windc_008140.nc
0-20000-0-08160	UADB_windc_008160.nc
0-20000-0-08181	UADB_windc_008181.nc
0-20000-0-08190	UADB_windc_008190.nc
0-20000-0-08202	UADB_windc_008202.nc
0-20000-0-08238	UADB_windc_008238.nc
0-20000-0-08302	UADB_windc_008302.nc
0-20000-0-08314	UADB_windc_008314.nc
0-20000-0-08330	UADB_windc_008330.nc
0-20000-0-08433	UADB_windc_008430.nc
0-20000-0-08508	UADB_windc_008508.nc
0-20000-0-08522	UADB_windc_008522.nc
0-20000-0-08545	UADB_windc_008545.nc
0-20000-0-08548	UADB_windc_008549.nc
0-20000-0-08554	UADB_windc_008554.nc
0-20000-0-08579	UADB_windc_008579.nc
0-20000-0-08594	UADB_windc_008594.nc
0-20000-0-10033	UADB_trhc_010034.nc
0-20000-0-10035	UADB_trhc_010035.nc
0-20000-0-10046	UADB_trhc_010046.nc
0-20000-0-10113	UADB_trhc_010113.nc
0-20000-0-10126	UADB_trhc_010122.nc
0-20000-0-10200	UADB_trhc_010200.nc
0-20000-0-10238	UADB_trhc_010238.nc
0-20000-0-10267	UADB_trhc_010272.nc
0-20000-0-10304	UADB_trhc_010304.nc
0-20000-0-10315	UADB_trhc_010307.nc
0-20000-0-10339	UADB_trhc_010338.nc
0-20000-0-10384	UADB_trhc_010384.nc
0-20000-0-10385	UADB_windc_010385.nc
0-20000-0-10410	UADB_trhc_010410.nc
0-20000-0-10418	UADB_trhc_010419.nc
0-20000-0-10439	UADB_trhc_010437.nc
0-20000-0-10454	UADB_trhc_010454.nc
0-20000-0-10469	UADB_trhc_010468.nc
0-20000-0-10488	UADB_trhc_010486.nc
0-20000-0-10513	UADB_trhc_010513.nc
0-20000-0-10548	UADB_trhc_010548.nc
0-20000-0-10629	UADB_trhc_010639.nc
0-20000-0-10641	UADB_trhc_010642.nc
0-20000-0-10646	UADB_trhc_010657.nc
0-20000-0-10688	UADB_trhc_010687.nc
0-20000-0-10739	UADB_trhc_010739.nc
0-20000-0-10743	UADB_trhc_010659.nc
0-20000-0-10771	UADB_trhc_010771.nc
0-20000-0-10818	UADB_trhc_010921.nc
0-20000-0-10827	UADB_trhc_010828.nc
0-20000-0-10860	UADB_windc_010862.nc
0-20000-0-10865	UADB_trhc_010868.nc
0-20000-0-10954	UADB_trhc_010954.nc
0-20000-0-10962	UADB_trhc_010962.nc
0-20000-0-11010	UADB_trhc_011010.nc
0-20000-0-11030	UADB_trhc_011030.nc
0-20000-0-11035	UADB_trhc_011035.nc
0-20000-0-11120	UADB_trhc_011120.nc
0-20000-0-11240	UADB_trhc_011240.nc
0-20000-0-11567	UADB_trhc_011520.nc
0-20000-0-11723	UADB_trhc_011722.nc
0-20000-0-11747	UADB_trhc_011747.nc
0-20000-0-11934	UADB_trhc_011952.nc
0-20000-0-11968	UADB_trhc_011968.nc
0-20000-0-12105	UADB_trhc_012105.nc
0-20000-0-12120	UADB_trhc_012120.nc
0-20000-0-12140	UADB_windc_012150.nc
0-20000-0-12330	UADB_trhc_012330.nc
0-20000-0-12375	UADB_trhc_012374.nc
0-20000-0-12424	UADB_trhc_012425.nc
0-20000-0-12465	UADB_windc_012465.nc
0-20000-0-12560	UADB_windc_012560.nc
0-20000-0-12575	UADB_trhc_012577.nc
0-20000-0-12580	UADB_windc_012580.nc
0-20000-0-12772	UADB_windc_012772.nc
0-20000-0-12812	UADB_trhc_012812.nc
0-20000-0-12843	UADB_trhc_012843.nc
0-20000-0-12882	UADB_windc_012882.nc
0-20000-0-12942	UADB_windc_012942.nc
0-20000-0-12982	UADB_trhc_012982.nc
0-20000-0-13067	UADB_windc_013067.nc
0-20000-0-13274	UADB_windc_013275.nc
0-20000-0-13388	UADB_windc_013388.nc
0-20000-0-13463	UADB_windc_013462.nc
0-20000-0-14026	UADB_windc_013027.nc
0-20000-0-14031	UADB_windc_013030.nc
0-20000-0-14240	UADB_windc_014240.nc
0-20000-0-14370	UADB_windc_013150.nc
0-20000-0-14430	UADB_windc_014430.nc
0-20000-0-14528	UADB_windc_013228.nc
0-20000-0-14648	UADB_windc_013349.nc
0-20000-0-15010	UADB_windc_015010.nc
0-20000-0-15014	UADB_windc_015014.nc
0-20000-0-15023	UADB_windc_015023.nc
0-20000-0-15080	UADB_windc_015080.nc
0-20000-0-15090	UADB_windc_015090.nc
0-20000-0-15120	UADB_windc_015120.nc
0-20000-0-15145	UADB_windc_015145.nc
0-20000-0-15150	UADB_windc_015150.nc
0-20000-0-15200	UADB_windc_015200.nc
0-20000-0-15230	UADB_windc_015230.nc
0-20000-0-15235	UADB_windc_015300.nc
0-20000-0-15247	UADB_windc_015247.nc
0-20000-0-15260	UADB_windc_015260.nc
0-20000-0-15302	UADB_windc_015302.nc
0-20000-0-15310	UADB_windc_015310.nc
0-20000-0-15350	UADB_windc_015350.nc
0-20000-0-15360	UADB_windc_015360.nc
0-20000-0-15410	UADB_windc_015410.nc
0-20000-0-15420	UADB_windc_015420.nc
0-20000-0-15450	UADB_windc_015450.nc
0-20000-0-15480	UADB_windc_015480.nc
0-20000-0-15490	UADB_windc_015490.nc
0-20000-0-15614	UADB_windc_015614.nc
0-20000-0-15730	UADB_windc_015730.nc
0-20000-0-16037	UADB_trhc_016037.nc
0-20000-0-16045	UADB_windc_016045.nc
0-20000-0-16113	UADB_windc_016113.nc
0-20000-0-16144	UADB_windc_016144.nc
0-20000-0-16320	UADB_windc_016320.nc
0-20000-0-16420	UADB_windc_016420.nc
0-20000-0-16429	UADB_windc_016429.nc
0-20000-0-16460	UADB_windc_016460.nc
0-20000-0-16560	UADB_windc_016546.nc
0-20000-0-16597	UADB_windc_016597.nc
0-20000-0-16641	UADB_windc_016641.nc
0-20000-0-16642	UADB_windc_016642.nc
0-20000-0-16716	UADB_windc_016716.nc
0-20000-0-16734	UADB_windc_016734.nc
0-20000-0-16749	UADB_windc_016749.nc
0-20000-0-16754	UADB_windc_016754.nc
0-20000-0-17022	UADB_windc_017022.nc
0-20000-0-17029	UADB_windc_017030.nc
0-20000-0-17050	UADB_windc_017050.nc
0-20000-0-17062	UADB_windc_017064.nc
0-20000-0-17064	UADB_windc_017062.nc
0-20000-0-17082	UADB_windc_017082.nc
0-20000-0-17124	UADB_windc_017124.nc
0-20000-0-17130	UADB_windc_017130.nc
0-20000-0-17195	UADB_windc_017195.nc
0-20000-0-17196	UADB_windc_017196.nc
0-20000-0-17200	UADB_windc_017200.nc
0-20000-0-17204	UADB_windc_017095.nc
0-20000-0-17220	UADB_windc_017220.nc
0-20000-0-17240	UADB_windc_017240.nc
0-20000-0-17248	UADB_windc_017248.nc
0-20000-0-17281	UADB_windc_017281.nc
0-20000-0-17300	UADB_windc_017300.nc
0-20000-0-17352	UADB_windc_017351.nc
0-20000-0-17600	UADB_windc_017600.nc
0-20000-0-17601	UADB_windc_017601.nc
0-20000-0-17607	UADB_windc_017607.nc
0-20000-0-20046	UADB_windc_020046.nc
0-20000-0-20069	UADB_windc_020069.nc
0-20000-0-20107	UADB_windc_020107.nc
0-20000-0-20292	UADB_windc_020292.nc
0-20000-0-20353	UADB_windc_020353.nc
0-20000-0-20667	UADB_windc_020667.nc
0-20000-0-20674	UADB_windc_020674.nc
0-20000-0-20744	UADB_windc_020744.nc
0-20000-0-20891	UADB_windc_020891.nc
0-20000-0-21432	UADB_windc_021432.nc
0-20000-0-21824	UADB_windc_021824.nc
0-20000-0-21946	UADB_windc_021946.nc
0-20000-0-21982	UADB_windc_021982.nc
0-20000-0-22113	UADB_windc_022113.nc
0-20000-0-22165	UADB_windc_022165.nc
0-20000-0-22217	UADB_windc_022217.nc
0-20000-0-22271	UADB_windc_022271.nc
0-20000-0-22520	UADB_windc_022522.nc
0-20000-0-22768	UADB_windc_022768.nc
0-20000-0-22802	UADB_windc_022802.nc
0-20000-0-22820	UADB_windc_022820.nc
0-20000-0-22845	UADB_windc_022845.nc
0-20000-0-23022	UADB_windc_023022.nc
0-20000-0-23078	UADB_windc_023078.nc
0-20000-0-23205	UADB_windc_023205.nc
0-20000-0-23274	UADB_windc_023274.nc
0-20000-0-23472	UADB_windc_023472.nc
0-20000-0-23552	UADB_windc_023552.nc
0-20000-0-23802	UADB_windc_023802.nc
0-20000-0-23804	UADB_windc_023804.nc
0-20000-0-23884	UADB_windc_023884.nc
0-20000-0-23921	UADB_windc_023921.nc
0-20000-0-23933	UADB_windc_023933.nc
0-20000-0-23955	UADB_windc_023955.nc
0-20000-0-24125	UADB_windc_024125.nc
0-20000-0-24266	UADB_windc_024266.nc
0-20000-0-24343	UADB_windc_024343.nc
0-20000-0-24507	UADB_windc_024507.nc
0-20000-0-24641	UADB_windc_024641.nc
0-20000-0-24688	UADB_windc_024688.nc
0-20000-0-24726	UADB_windc_024726.nc
0-20000-0-24790	UADB_windc_024790.nc
0-20000-0-24817	UADB_windc_024817.nc
0-20000-0-24908	UADB_windc_024908.nc
0-20000-0-24944	UADB_windc_024944.nc
0-20000-0-24959	UADB_windc_024959.nc
0-20000-0-24966	UADB_windc_024966.nc
0-20000-0-25042	UADB_windc_025042.nc
0-20000-0-25123	UADB_windc_025123.nc
0-20000-0-25282	UADB_windc_025282.nc
0-20000-0-25399	UADB_windc_025399.nc
0-20000-0-25400	UADB_windc_025400.nc
0-20000-0-25428	UADB_windc_025428.nc
0-20000-0-25551	UADB_windc_025551.nc
0-20000-0-25563	UADB_windc_025563.nc
0-20000-0-25677	UADB_windc_025677.nc
0-20000-0-25703	UADB_windc_025703.nc
0-20000-0-25913	UADB_windc_025913.nc
0-20000-0-26038	UADB_windc_026038.nc
0-20000-0-26063	UADB_windc_026063.nc
0-20000-0-26258	UADB_windc_026258.nc
0-20000-0-26298	UADB_windc_026298.nc
0-20000-0-26406	UADB_windc_026406.nc
0-20000-0-26435	UADB_windc_026435.nc
0-20000-0-26477	UADB_windc_026477.nc
0-20000-0-26629	UADB_windc_026629.nc
0-20000-0-26702	UADB_windc_026702.nc
0-20000-0-26781	UADB_windc_026781.nc
0-20000-0-27037	UADB_windc_027038.nc
0-20000-0-27199	UADB_windc_027199.nc
0-20000-0-27329	UADB_windc_027331.nc
0-20000-0-27612	UADB_windc_027612.nc
0-20000-0-27707	UADB_windc_027707.nc
0-20000-0-27730	UADB_windc_027730.nc
0-20000-0-27944	UADB_windc_027944.nc
0-20000-0-27962	UADB_windc_027962.nc
0-20000-0-27995	UADB_windc_027995.nc
0-20000-0-28224	UADB_windc_028225.nc
0-20000-0-28275	UADB_windc_028275.nc
0-20000-0-28440	UADB_windc_028440.nc
0-20000-0-28445	UADB_windc_028445.nc
0-20000-0-28552	UADB_windc_028552.nc
0-20000-0-28676	UADB_windc_028679.nc
0-20000-0-28698	UADB_windc_028698.nc
0-20000-0-28722	UADB_windc_028722.nc
0-20000-0-28952	UADB_windc_028951.nc
0-20000-0-29231	UADB_windc_029231.nc
0-20000-0-29263	UADB_windc_029263.nc
0-20000-0-29282	UADB_windc_029282.nc
0-20000-0-29571	UADB_windc_029572.nc
0-20000-0-29612	UADB_windc_029612.nc
0-20000-0-29634	UADB_windc_029634.nc
0-20000-0-29698	UADB_windc_029698.nc
0-20000-0-29838	UADB_windc_029839.nc
0-20000-0-29849	UADB_windc_029843.nc
0-20000-0-29862	UADB_windc_029862.nc
0-20000-0-29998	UADB_trhc_030700.nc
0-20000-0-30054	UADB_windc_030054.nc
0-20000-0-30230	UADB_windc_030230.nc
0-20000-0-30309	UADB_windc_030309.nc
0-20000-0-30372	UADB_windc_030372.nc
0-20000-0-30521	UADB_windc_030521.nc
0-20000-0-30555	UADB_windc_030554.nc
0-20000-0-30603	UADB_windc_030603.nc
0-20000-0-30635	UADB_windc_030635.nc
0-20000-0-30636	UADB_windc_030636.nc
0-20000-0-30650	UADB_windc_030650.nc
0-20000-0-30683	UADB_windc_030683.nc
0-20000-0-30688	UADB_windc_030688.nc
0-20000-0-30692	UADB_windc_030692.nc
0-20000-0-30703	UADB_windc_030703.nc
0-20000-0-30729	UADB_windc_030729.nc
0-20000-0-30731	UADB_windc_030731.nc
0-20000-0-30739	UADB_windc_030739.nc
0-20000-0-30758	UADB_windc_030758.nc
0-20000-0-30777	UADB_windc_030777.nc
0-20000-0-30802	UADB_windc_030802.nc
0-20000-0-30815	UADB_windc_030812.nc
0-20000-0-30822	UADB_windc_030822.nc
0-20000-0-30823	UADB_windc_030823.nc
0-20000-0-30935	UADB_windc_030935.nc
0-20000-0-30957	UADB_windc_030954.nc
0-20000-0-30965	UADB_windc_030965.nc
0-20000-0-31004	UADB_windc_031004.nc
0-20000-0-31088	UADB_windc_031088.nc
0-20000-0-31168	UADB_windc_031168.nc
0-20000-0-31174	UADB_windc_031174.nc
0-20000-0-31300	UADB_windc_031300.nc
0-20000-0-31329	UADB_windc_031329.nc
0-20000-0-31369	UADB_windc_031369.nc
0-20000-0-31388	UADB_windc_031388.nc
0-20000-0-31416	UADB_windc_031416.nc
0-20000-0-31510	UADB_windc_031510.nc
0-20000-0-31538	UADB_windc_031538.nc
0-20000-0-31561	UADB_windc_031561.nc
0-20000-0-31707	UADB_windc_031707.nc
0-20000-0-31735	UADB_windc_031736.nc
0-20000-0-31770	UADB_windc_031770.nc
0-20000-0-31873	UADB_windc_031873.nc
