	date_time	sensor_id	date_time_conv
0	1451746800	b'ABA '	1946-01-02 15:00:00
20518	1999555200	b'AA53'	1963-05-14 00:00:00
34718	2303683200	b'AA63'	1973-01-01 00:00:00
47045	2519719200	b'APA3'	1979-11-06 10:00:00
53307	2624961600	b'APCa'	1983-03-08 12:00:00
60998	2759918400	b'V8A '	1987-06-17 12:00:00
66400	2858670000	b'VDR '	1990-08-03 11:00:00
80491	3166210800	b'VDT '	2000-05-01 23:00:00
82763	3206862000	b'VDN '	2001-08-15 11:00:00
87825	3295940400	b'VGT '	2004-06-11 11:00:00
88555	3309505200	b'VGR '	2004-11-15 11:00:00
91299	3364714800	b'VNt '	2006-08-16 11:00:00
91621	3370330800	b'VNr '	2006-10-20 11:00:00
102595	3565983600	b'80.0'	2012-12-31 23:00:00
102596	3566005200	b'nan'	2013-01-01 05:00:00
107044	3645321360	b'78.0'	2015-07-08 05:16:00
111085	3733456629	b'141.'	2018-04-23 07:17:09
113771	3807946800	b'41.0'	2020-09-01 11:00:00
114607	3843520391	b'142.'	2021-10-18 04:33:11
