	date_time	sensor_id	date_time_conv
0	843141600	b'VCL '	1926-09-20 14:00:00
76444	3253906800	b'VFL '	2003-02-10 23:00:00
78462	3342945600	b'VNg '	2005-12-07 12:00:00
78598	3349508400	b'VN8 '	2006-02-21 11:00:00
82936	3565983600	b'81.0'	2012-12-31 23:00:00
82942	3566329200	b'nan'	2013-01-04 23:00:00
82953	3566869200	b'33.0'	2013-01-11 05:00:00
82996	3569007600	b'30.0'	2013-02-04 23:00:00
83303	3587886000	b'32.0'	2013-09-11 11:00:00
83353	3591385200	b'20.0'	2013-10-21 23:00:00
83883	3623007600	b'27.0'	2014-10-22 23:00:00
83919	3625038000	b'26.0'	2014-11-15 11:00:00
83955	3627111600	b'29.0'	2014-12-09 11:00:00
83995	3629055600	b'24.0'	2014-12-31 23:00:00
84025	3630438000	b'31.0'	2015-01-16 23:00:00
84170	3637522800	b'28.0'	2015-04-08 23:00:00
84171	3637544400	b'25.0'	2015-04-09 05:00:00
84192	3638905200	b'22.0'	2015-04-24 23:00:00
85271	3694261766	b'142.'	2017-01-24 15:49:26
86661	3788290800	b'42.0'	2020-01-17 23:00:00
87028	3808465200	b'43.0'	2020-09-07 11:00:00
87092	3813865200	b'55.0'	2020-11-08 23:00:00
87100	3814556400	b'60.0'	2020-11-16 23:00:00
87101	3814642800	b'51.0'	2020-11-17 23:00:00
87104	3814902000	b'62.0'	2020-11-20 23:00:00
87108	3815247600	b'46.0'	2020-11-24 23:00:00
87136	3816975600	b'47.0'	2020-12-14 23:00:00
87142	3817407600	b'53.0'	2020-12-19 23:00:00
87148	3817839600	b'71.0'	2020-12-24 23:00:00
87152	3818077200	b'57.0'	2020-12-27 17:00:00
87156	3818271600	b'61.0'	2020-12-29 23:00:00
87169	3819222000	b'44.0'	2021-01-09 23:00:00
87187	3820604400	b'54.0'	2021-01-25 23:00:00
87217	3822764400	b'59.0'	2021-02-19 23:00:00
87236	3824146800	b'58.0'	2021-03-07 23:00:00
87245	3824838000	b'45.0'	2021-03-15 23:00:00
87249	3825032400	b'65.0'	2021-03-18 05:00:00
87260	3825961200	b'63.0'	2021-03-28 23:00:00
87279	3827300400	b'50.0'	2021-04-13 11:00:00
87285	3827689200	b'35.0'	2021-04-17 23:00:00
87337	3831663600	b'41.0'	2021-06-02 23:00:00
87346	3832441200	b'56.0'	2021-06-11 23:00:00
87347	3832527600	b'64.0'	2021-06-12 23:00:00
87361	3833564400	b'8.0'	2021-06-24 23:00:00
87365	3833910000	b'9.0'	2021-06-28 23:00:00
87367	3834082800	b'52.0'	2021-06-30 23:00:00
87368	3834169200	b'37.0'	2021-07-01 23:00:00
87371	3834363600	b'13.0'	2021-07-04 05:00:00
87372	3834428400	b'48.0'	2021-07-04 23:00:00
87377	3834860400	b'34.0'	2021-07-09 23:00:00
87381	3835033200	b'49.0'	2021-07-11 23:00:00
87428	3837884400	b'36.0'	2021-08-13 23:00:00
87443	3838921200	b'4.0'	2021-08-25 23:00:00
87444	3839007600	b'1.0'	2021-08-26 23:00:00
87478	3841513200	b'40.0'	2021-09-24 23:00:00
87489	3842463600	b'39.0'	2021-10-05 23:00:00
87495	3842982000	b'67.0'	2021-10-11 23:00:00
