	date_time	sensor_id	date_time_conv
0	1925035200	b'RA4 '	1961-01-01 12:00:00
13941	2422008000	b'RK5 '	1976-10-01 12:00:00
22648	2664316800	b'RRB '	1984-06-06 00:00:00
29441	2905416000	b'XXX '	1992-01-26 12:00:00
29443	2944814400	b'RZ3 '	1993-04-26 12:00:00
38352	3565900800	b'28.0'	2012-12-31 00:00:00
38463	3572164800	b'27.0'	2013-03-13 12:00:00
39191	3610008000	b'nan'	2014-05-25 12:00:00
41323	3707856000	b'90.0'	2017-07-01 00:00:00
42094	3741379200	b'12.0'	2018-07-24 00:00:00
42106	3741897600	b'14.0'	2018-07-30 00:00:00
42161	3744316800	b'24.0'	2018-08-27 00:00:00
42271	3749068800	b'34.0'	2018-10-21 00:00:00
42658	3765785400	b'58.0'	2019-05-02 11:30:00
42784	3771228600	b'153.'	2019-07-04 11:30:00
42826	3773044800	b'19.0'	2019-07-25 12:00:00
42827	3773086218	b'119.'	2019-07-25 23:30:18
