	date_time	sensor_id	value	source	comment
0	1960-12-06 00:00:00	RZ3 	1	SCH	  RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)^ (W3=27, T=233) <F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta>
35584	2002-09-29 12:00:00	XXX 	1	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected
35900	2003-09-24 12:00:00	RZ3 	1	SCH	  RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)^ (W3=27, T=233) <F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta>
0	2013-01-01 00:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
86	2013-02-17 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
87	2013-02-17 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
126	2013-03-09 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
127	2013-03-09 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
173	2013-04-03 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
174	2013-04-19 00:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
305	2013-07-08 12:00:00	129	2	WMO	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        
306	2013-07-09 00:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
414	2013-09-01 00:00:00	58	2	WMO	AVK-BAR (Russian Federation)                
473	2013-10-05 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
646	2014-01-03 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
647	2014-01-03 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
693	2014-01-27 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
694	2014-01-27 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
696	2014-01-28 12:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
697	2014-01-29 00:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
733	2014-02-16 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
734	2014-02-16 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
753	2014-02-26 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
754	2014-02-26 12:00:00	128	2	WMO	AVK - AK2-02 (Russian Federation)                          
952	2014-06-06 00:00:00	27	2	WMO	AVK-MRZ (Russian Federation)                
