	Unnamed: 0	date_time	sensor_id	value	source	comment
0	0.0	1910-01-06 14:22:00	Z4? 	1	SCH	  Z4? exact type insufficiently documented
33683	33683.0	1973-10-01 00:00:00	Z0m 	1	SCH	  Z0m VIZ AN/AMT modified sonde assumed similar to Z4a {mid 1970s}^
53472	53472.0	1987-05-01 00:00:00	BAE 	1	SCH	  BAE Austria Elin radiosonde model 2404, hypsometer pressure {~ 1992} WMO instr=16^ (W2=23, W3=16) <F=?403,P=H>
66951	66951.0	1996-07-26 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
68831	68831.0	1997-11-08 12:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
68946	68946.0	1997-12-07 02:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
68947	68947.0	1997-12-07 06:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69287	69287.0	1998-03-02 02:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69288	69288.0	1998-03-02 06:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69374	69374.0	1998-03-23 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69375	69375.0	1998-03-23 18:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69490	69490.0	1998-04-21 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69491	69491.0	1998-04-21 18:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69494	69494.0	1998-04-22 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69495	69495.0	1998-04-22 18:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69881	69881.0	1998-07-28 00:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69882	69882.0	1998-07-28 06:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69919	69919.0	1998-08-06 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69920	69920.0	1998-08-06 18:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69923	69923.0	1998-08-07 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69924	69924.0	1998-08-07 18:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69929	69929.0	1998-08-09 00:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
69930	69930.0	1998-08-09 06:00:00	V9t 	1	SCH	  V9t Vaisala RS90 DigiCORA I, II, or Marwin country corr, ranging wind 31313=67103^ <F=T403DL,P=Sc,T=Wc,U=2Ah,W=Ta>
69935	69935.0	1998-08-10 12:00:00	VA8 	1	SCH	  VA8 exact type insufficiently documented
