	Unnamed: 0	date_time	sensor_id	value	source	comment
0	0	2013-01-01 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
1	1	2013-01-01 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
2	2	2013-01-02 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
3	3	2013-01-02 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
4	4	2013-01-03 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
5	5	2013-01-03 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
6	6	2013-01-04 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
7	7	2013-01-04 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
8	8	2013-01-05 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
9	9	2013-01-05 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
10	10	2013-01-06 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
11	11	2013-01-06 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
12	12	2013-01-07 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
13	13	2013-01-07 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
14	14	2013-01-08 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
15	15	2013-01-08 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
16	16	2013-01-09 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
17	17	2013-01-09 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
18	18	2013-01-10 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
19	19	2013-01-10 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
20	20	2013-01-11 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
21	21	2013-01-11 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
22	22	2013-01-12 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
23	23	2013-01-12 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
24	24	2013-01-13 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
25	25	2013-01-13 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
26	26	2013-01-14 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
27	27	2013-01-14 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
28	28	2013-01-15 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
29	29	2013-01-15 23:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
30	30	2013-01-16 11:00:00	26	2	WMO	Meteolabor Basora (Switzerland)                
