	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
1377	C9	[21|24] VIZ Jinyang (Korea)	21	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           	2012-12-31	2013-01-01	0-20000-0-47185
1832	BKg	BKg South Korea Jinyang 403 MHz RSG-20A GPS radiosonde {2010?} 31313=52108  [F=T403DL,P=Ac,T=T,U=A,N=G]	21	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           	2012-12-31	2013-01-01	0-20000-0-47090
735	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-30715
1224	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-27595
4173	RHA	RHA Russia MRZ-3AK1 (previously MRZ* or BAR) 1780 MHz radiosonde with AVK {2004} 31313=55803  (W3=58) [F=T1780PL,P=0,T=TR(MMT-1),U=A(Honeywell HIH4000),W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-20891
19	CF	[51|--] VIZ B2 in USA, introduced in 1997 according to ERB2002	51	VIZ-B2 (United States)                	2012-12-30	2013-01-01	0-52-130-78954
3740	ZKN	ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)]	51	VIZ-B2 (United States)                	2012-08-08	2013-02-14	0-20000-0-78073
7	J01	J01 Japan Meisei RS-01G GPS radiosonde country solar corr, Ishihara RH corr {2003} 31313=75508  (W3=55) [F=T403.7-405.2DL,P=none,T=TR,U=A,N=GD]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-47991
1833	J06	J06 Japan Meisei RS-06G GPS radiosonde {2008} 31313=73008   (W3=30[BUFR code=130]) [F=T404.5DL,P=none,T=TB,U=A,N=GD]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-89532
2758	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-47681
2816	J80	J80 Japan Meisei RSII-80 or RS2-80 radiosonde {1981} 31313=72202  (W2=09, W3=22, 31313=72202) [F=T1680FB,P=A,T=TR,U=C]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-96163
