	sch	sch_date	wmo	wmo_date	delta_days	station	min_date	max_date	records	latitude	longitude	station_name
0	NA	NA	NA	NA	NA	0-20000-0-60437	1990-04-06	1990-04-06	1	1.0	36.27000045776367	2.75
1	NA	NA	NA	NA	NA	0-20000-0-48099	1989-10-22	1993-01-25	2	2.0	16.75	97.67
2	NA	NA	NA	NA	NA	0-20000-0-60522	1987-06-16	1988-05-20	2	2.0	34.81999969482422	-1.78
3	NA	NA	NA	NA	NA	0-20000-0-11155	1982-11-28	1982-11-28	1	1.0	47.81999969482422	13.73
4	NA	NA	NA	NA	NA	0-20000-0-48672	1999-05-03	1999-05-03	1	1.0	2.0199999809265137	103.32
5	NA	NA	NA	NA	NA	0-20000-0-12805	1982-03-02	1989-07-23	57	57.0	47.68000030517578	16.6
6	NA 	1934-06-21	NA 	1934-06-21	0	0-20000-0-07257	1927-02-15	1985-01-06	43	47.029998779296875	2.6500000953674316	AVORD
7	NA	NA	NA	NA	NA	0-20000-0-47129	1981-05-28	2006-02-16	568	568.0	36.779998779296875	126.45
8	NA	NA	NA	NA	NA	0-20000-0-71878	1973-06-22	1973-08-26	13	13.0	52.18000030517578	-113.9
9	NA	NA	NA	NA	NA	0-20000-0-11232	1985-11-06	1986-09-06	3	3.0	46.58000183105469	14.75
10	NA	NA	NA	NA	NA	0-20000-0-02790	1914-08-19	1914-08-20	2	2.0	60.25	20.78
11	NA	NA	NA	NA	NA	0-20000-0-94231	1979-07-20	1979-07-20	1	1.0	-18.329999923706055	130.63
12	NA	NA	NA	NA	NA	0-20000-0-71001	1944-05-23	1944-12-30	237	237.0	61.349998474121094	-139.02
13	NA	NA	NA	NA	NA	0-20500-0-50404	1944-05-02	1945-09-19	511	511.0	-1.0700000524520874	-47.62
14	NA	NA	NA	NA	NA	0-20300-0-22003	1929-01-01	1930-11-26	159	159.0	29.299999237060547	-100.433
15	NA	NA	NA	NA	NA	0-20000-0-72487	1951-10-06	1957-09-23	1218	1218.0	37.720001220703125	-114.45
16	NA 	1954-08-04	NA 	1954-08-04	0	0-20000-0-70162	1945-05-03	1986-04-14	2713	69.36699676513672	-152.13299560546875	UMIAT
17	-922	1996-10-09	114	2014-11-24	6620	0-20000-0-03559	1996-10-09	2021-04-01	295	52.104000091552734	-0.42100000381469727	CARDINGTON
18	NA	NA	NA	NA	NA	0-20300-0-89522	1958-02-10	1978-12-07	1098	1098.0	-70.43000030517578	24.31
19	XXX 	1998-05-11	NA	1900-01-01	-1	0-20000-0-96529	1996-01-01	2022-01-08	4915	2.1440000534057617	117.43299865722656	TANJUNG REDEP/KALIMARAU
20	NA 	1978-12-28	NA 	1978-12-28	0	0-20300-0-26520	1943-04-20	2014-06-24	8022	33.66999816894531	-117.72000122070312	CA SANTA ANA/ORANGE COUNTY AAF
21	NA	NA	NA	NA	NA	0-20000-0-61470	1999-05-13	1999-05-13	1	1.0	17.049999237060547	-12.92
22	XXX 	1978-12-31	99	1978-12-31	0	0-20000-0-54115	1965-08-06	1990-02-01	5774	43.632999420166016	118.03299713134766	LINXI
23	NA	NA	NA	NA	NA	0-20000-0-95699	1979-07-26	1980-06-26	2	2.0	-30.850000381469727	143.08
24	NA	NA	NA	NA	NA	0-20000-0-47008	1980-06-29	1981-07-08	2	2.0	41.779998779296875	129.82
25	NA	NA	NA	NA	NA	0-20000-0-12922	1982-03-02	1982-04-30	34	34.0	46.75	17.25
26	NA	NA	NA	NA	NA	0-20000-0-48020	1981-05-09	1981-05-09	1	1.0	23.6299991607666	94.42
27	NA	NA	NA	NA	NA	0-20000-0-61085	1985-11-07	1991-03-10	3	3.0	13.420000076293945	12.78
