Date of assignment of number (necessary after 30/06/2007),Code figure for rara (Code table 3685),Code figure for BUFR (Code table 0 02 011),Description
Not applicable,00,0,Reserved
Before,01,1,iMet-1-BB (United States)
Not applicable,02,2, No radiosonde – passive target (e.g. reflector)                 
Not applicable,03,3, No radiosonde – active target (e.g. transponder)           
Not applicable,04,4, No radiosonde – passive temperature-humidity profiler            
Not applicable,05,5, No radiosonde – active temperature-humidity profiler            
Not applicable,06,6, No radiosonde – radio-acoustic sounder             
Before,07,7,iMet-1-AB (United States)                
Not applicable,08,8, No radiosonde –... (reserved)              
Not applicable,09,9, No radiosonde – system unknown or not specified          
Before,10,10,VIZ type A pressure-commutated (United States)             
Before,11,11,VIZ type B time-commutated (United States)             
Before,12,12,RS SDC (Space Data Corporation – United States)           
Before,13,13,Astor (no longer made – Australia)             
Before,14,14,VIZ MARK I MICROSONDE (United States)             
Before,15,15,EEC Company type 23 (United States)             
Before,16,16,Elin (Austria)                 
Before,17,17,Graw G. (Germany)                
Before,18,18,Graw DFM-06 (Germany)                
Before,19,19,Graw M60 (Germany)                
Before,20,20,Indian Meteorological Service MK3 (India)              
Before,21,21,VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           
Before,22,22,Meisei RS2-80 (Japan)                
Before,23,23,Mesural FMO 1950A (France)               
Before,24,24,Mesural FMO 1945A (France)               
Before,25,25,Mesural MH73A (France)                
Before,26,26,Meteolabor Basora (Switzerland)                
Before,27,27,AVK-MRZ (Russian Federation)                
Before,28,28,Meteorit MARZ2-1 (Russian Federation)               
Before,29,29,Meteorit MARZ2-2 (Russian Federation)               
Before,30,30,Oki RS2-80 (Japan)                
Before,31,31,VIZ/Valcom type A pressure-commutated (Canada)              
Before,32,32,Shanghai Radio (China)                
Before,33,33,UK Met Office MK3 (UK)              
Before,34,34,Vinohrady (Czechia)                 
Before,35,35,Vaisala RS18 (Finland)                
Before,36,36,Vaisala RS21 (Finland)                
Before,37,37,Vaisala RS80 (Finland)                
Before,38,38,VIZ LOCATE Loran-C (United States)              
Before,39,39,Sprenger E076 (Germany)                
Before,40,40,Sprenger E084 (Germany)                
Before,41,41,Sprenger E085 (Germany)                
Before,42,42,Sprenger E086 (Germany)                
Before,43,43,AIR IS - 4A - 1680 (United States)           
Before,44,44,AIR IS - 4A - 1680 X (United States)          
Before,45,45,RS MSS (United States)               
Before,46,46,AIR IS - 4A - 403 (United States)           
Before,47,47,Meisei RS2-91 (Japan)                
Before,48,48,VALCOM (Canada)                 
Before,49,49,VIZ MARK II (United States)              
Before,50,50,Graw DFM-90 (Germany)                
Before,51,51,VIZ-B2 (United States)                
Before,52,52,Vaisala RS80-57H                 
Before,53,53,AVK-RF95 (Russian Federation)                
Before,54,54,Graw DFM-97 (Germany)                
Before,55,55,Meisei RS-01G (Japan)                
Before,56,56,M2K2 (France)                 
Before,57,57,Modem M2K2-DC (France)                
Before,58,58,AVK-BAR (Russian Federation)                
Before,59,59,Modem M2K2-R 1680 MHz RDF radiosonde with pressure sensor chip (France)        
Before,60,60,Vaisala RS80/MicroCora (Finland)                
