Pressure (hPa),Temperature min (K),Temperature max (K),Water vapour min (ppmv),Water vapour max (ppmv),Ozone min (ppmv),Ozone max (ppmv),CO2 min (ppmv),CO2 max (ppmv)
0.0050,143.65,245.95,0.9133E+00,0.5241E+01,0.1402E-01,0.1404E+01,0.2933E+03,0.4610E+03
0.0131,154.19,252.13,0.1081E+01,0.6031E+01,0.6914E-01,0.1411E+01,0.2933E+03,0.4610E+03
0.0304,168.42,263.72,0.1349E+01,0.7423E+01,0.1075E+00,0.1496E+01,0.2933E+03,0.4610E+03
0.0644,180.18,280.11,0.1581E+01,0.8105E+01,0.1711E+00,0.1670E+01,0.2933E+03,0.4610E+03
0.1263,194.48,299.04,0.1804E+01,0.8436E+01,0.2275E+00,0.2064E+01,0.2933E+03,0.4610E+03
0.2324,206.21,318.64,0.1990E+01,0.8591E+01,0.3554E+00,0.2366E+01,0.2933E+03,0.4609E+03
0.4052,205.66,336.24,0.2491E+01,0.8577E+01,0.5529E+00,0.2718E+01,0.2933E+03,0.4610E+03
0.6749,197.17,342.08,0.3008E+01,0.8341E+01,0.7309E+00,0.3565E+01,0.2933E+03,0.4610E+03
1.0801,189.49,340.83,0.3295E+01,0.8065E+01,0.7164E+00,0.5333E+01,0.2934E+03,0.4612E+03
1.6691,179.27,334.67,0.3205E+01,0.7892E+01,0.6429E+00,0.7314E+01,0.2935E+03,0.4614E+03
2.5011,176.28,322.50,0.2922E+01,0.7754E+01,0.5043E+00,0.9190E+01,0.2935E+03,0.4613E+03
3.6462,175.04,312.51,0.2829E+01,0.7691E+01,0.7452E+00,0.1045E+02,0.2934E+03,0.4613E+03
5.1864,173.07,303.89,0.2702E+01,0.7584E+01,0.1586E+01,0.1234E+02,0.2933E+03,0.4613E+03
7.2150,168.38,295.48,0.2544E+01,0.7525E+01,0.1880E+01,0.1293E+02,0.2933E+03,0.4612E+03
9.8368,166.30,293.32,0.2457E+01,0.7364E+01,0.1322E+01,0.1274E+02,0.2933E+03,0.4611E+03
13.1672,163.46,287.05,0.2424E+01,0.7202E+01,0.7191E+00,0.1196E+02,0.2934E+03,0.4610E+03
17.3308,161.48,283.36,0.2200E+01,0.6961E+01,0.4276E+00,0.1110E+02,0.2935E+03,0.4612E+03
22.4601,161.47,280.93,0.1707E+01,0.6751E+01,0.2783E+00,0.9796E+01,0.2935E+03,0.4617E+03
28.6937,162.09,282.67,0.1523E+01,0.6457E+01,0.1635E+00,0.8736E+01,0.2936E+03,0.4623E+03
36.1735,162.49,279.93,0.1312E+01,0.6142E+01,0.1069E+00,0.7373E+01,0.2937E+03,0.4634E+03
45.0430,164.67,273.15,0.1356E+01,0.5898E+01,0.5454E-01,0.6800E+01,0.2938E+03,0.4647E+03
55.4433,166.19,265.92,0.1296E+01,0.6209E+01,0.4822E-01,0.5709E+01,0.2942E+03,0.4642E+03
67.5109,167.42,264.70,0.1164E+01,0.9169E+01,0.4300E-01,0.4786E+01,0.2947E+03,0.4654E+03
81.3744,159.97,261.95,0.3592E+00,0.1789E+02,0.3777E-01,0.4389E+01,0.2951E+03,0.4665E+03
97.1505,163.95,262.43,0.1286E-01,0.2030E+02,0.1586E-01,0.3620E+01,0.2956E+03,0.4675E+03
114.9415,168.59,259.56,0.1286E-01,0.3356E+02,0.1570E-01,0.2977E+01,0.2962E+03,0.4685E+03
134.8318,169.71,259.26,0.1286E-01,0.1022E+03,0.1572E-01,0.2665E+01,0.2970E+03,0.4692E+03
156.8846,169.42,260.13,0.1286E-01,0.2851E+03,0.1347E-01,0.2350E+01,0.2971E+03,0.4698E+03
181.1394,170.63,262.28,0.1286E-01,0.7147E+03,0.9773E-02,0.1972E+01,0.2973E+03,0.4702E+03
207.6092,174.10,264.46,0.1286E-01,0.1464E+04,0.1340E-01,0.1481E+01,0.2976E+03,0.4704E+03
236.2784,177.12,270.10,0.1286E-01,0.2475E+04,0.1589E-01,0.1075E+01,0.2982E+03,0.4706E+03
267.1012,181.98,277.93,0.1286E-01,0.4381E+04,0.1548E-01,0.7744E+00,0.2984E+03,0.4709E+03
300.0000,184.76,285.17,0.1286E-01,0.6631E+04,0.1547E-01,0.6282E+00,0.2984E+03,0.4711E+03
334.8648,187.69,293.67,0.1291E+01,0.9450E+04,0.1590E-01,0.5496E+00,0.2984E+03,0.4713E+03
371.5529,190.34,300.13,0.1525E+01,0.1244E+05,0.1528E-01,0.4474E+00,0.2984E+03,0.4714E+03
409.8893,194.40,302.63,0.2118E+01,0.1547E+05,0.1510E-01,0.3612E+00,0.2983E+03,0.4714E+03
449.6677,198.46,304.43,0.2359E+01,0.1857E+05,0.1501E-01,0.2835E+00,0.2982E+03,0.4715E+03
490.6516,201.53,307.20,0.2912E+01,0.2169E+05,0.1493E-01,0.2470E+00,0.2982E+03,0.4716E+03
532.5769,202.74,312.17,0.3668E+01,0.2470E+05,0.1453E-01,0.1994E+00,0.2981E+03,0.4717E+03
575.1538,201.61,315.54,0.3808E+01,0.2748E+05,0.1152E-01,0.1908E+00,0.2980E+03,0.4718E+03
618.0706,189.96,318.26,0.6818E+01,0.3028E+05,0.9691E-02,0.1713E+00,0.2980E+03,0.4719E+03
660.9965,189.96,321.70,0.6068E+01,0.3280E+05,0.9012E-02,0.1275E+00,0.2979E+03,0.4718E+03
703.5863,189.96,327.95,0.6729E+01,0.3532E+05,0.8672E-02,0.1238E+00,0.2979E+03,0.4723E+03
745.4841,189.96,333.77,0.8716E+01,0.3769E+05,0.8425E-02,0.1169E+00,0.2979E+03,0.4727E+03
786.3278,189.96,336.46,0.8263E+01,0.3998E+05,0.8179E-02,0.1153E+00,0.2979E+03,0.4733E+03
825.7546,189.96,338.53,0.7868E+01,0.4219E+05,0.7880E-02,0.1132E+00,0.2979E+03,0.4741E+03
863.4047,189.96,342.56,0.7525E+01,0.4422E+05,0.7381E-02,0.1115E+00,0.2980E+03,0.4749E+03
898.9275,189.96,346.22,0.7228E+01,0.4627E+05,0.6453E-02,0.1079E+00,0.2980E+03,0.4757E+03
931.9853,189.96,349.24,0.6971E+01,0.4773E+05,0.5987E-02,0.1020E+00,0.2980E+03,0.4768E+03
962.2587,189.96,349.92,0.6752E+01,0.5126E+05,0.5573E-02,0.9946E-01,0.2980E+03,0.4776E+03
989.4510,189.96,350.08,0.6566E+01,0.4972E+05,0.5708E-02,0.9927E-01,0.2980E+03,0.4782E+03
1013.2923,189.96,350.08,0.6412E+01,0.4720E+05,0.6383E-02,0.9446E-01,0.2980E+03,0.4785E+03
1033.5436,189.96,350.08,0.6286E+01,0.4780E+05,0.6401E-02,0.9433E-01,0.2980E+03,0.4787E+03
1050.0000,189.96,350.08,0.6188E+01,0.4764E+05,0.6401E-02,0.9433E-01,0.2980E+03,0.4788E+03

