"","X","name","statid","ascents","lat","lon","min_lat_d","max_lat_d","min_lon_d","max_lon_d","max_time","min_x_d","max_x_d","min_y_d","max_y_d","EUR11"
"3",2,"LULEA-KALLAX (2185-0)","0-20000-0-02185",44027,65.54331,22.11453,-0.000350880197757419,0.017154065559339,-0.00549900857700081,0.0450959278340903,396.679511289371,-0.253434781489886,2.07835215923852,-0.0390603452642227,1.90960262212694,1
"4",3,"SUNDSVALL HARNOSAND (2365-0)","0-20000-0-02365",57238,62.5317,17.4361,-0.00372058486131976,0,0,0.00525718113411955,107.296169950723,-9.50426816940308e-05,0.269943335974341,-0.414178123306207,9.50426816940308e-05,1
"5",4,"VISBY AEROLOGISKA STATION","0-20000-0-02591",43231,57.67083,18.34531,-0.0111375365642914,0.00868609155850208,-0.0285411694400217,0.0100243284410446,388.948975189169,-1.69912361651596,0.596772082809782,-1.23983838917052,0.96694181007491,1
"6",5,"SODANKYLA ARCTIC RESEARCH CENTRE","0-20000-0-02836",67088,67.3667,26.6289,-0.026194123399307,0.0310709271601013,-0.223909516068286,0.0726064469213554,893.06587561456,-9.59222219104504,3.11044176071816,-2.91594820740785,3.45883742485331,1
"7",6,"JYVASKYLA AIRPORT","0-20000-0-02935",57294,62.3973,25.6712,-0.0113528142580392,0.00548932889763876,-0.196430283099225,0.00796223912929861,1006.66707811472,-10.131691105628,0.410685036492498,-1.26380325078186,0.611075944706306,1
"8",7,"JOKIOINEN OBSERVATORY","0-20000-0-02963",66311,60.8139,23.4975,-0.0582699696883253,0.0429396409025316,-0.0498991174329504,0.0218582843959751,626.57717910905,-2.70878867510993,1.18658360218577,-6.48665393457541,4.78007097087467,1
"16",15,"LEUCHARS","0-20000-0-03171",61046,56.4,-2.87,-0.0902280951481131,0.00508376074785843,-0.074830572783553,0.0647211411076309,1131.33603129449,-4.60985757044391,3.9870768717452,-10.0442548965941,0.565927807586608,1
"18",17,"ALBEMARLE","0-20000-0-03238",11127,55.0197,-1.8817,-0.1079037083949,0.0875858785222334,-0.100705965563137,0.275096912230658,1384.53952407327,-6.42701131035705,17.5565565480293,-12.0119165723371,9.75012148641357,1
"20",19,"CROSBY","0-20000-0-03316",66609,53.55,-2.92,-0.0609614539485364,0.0331856712705232,-0.0557381783100661,0.10417224522166,1551.21968787142,-3.6864100855122,6.88974061460013,-6.78627185181117,3.69425222441793,1
"25",24,"LARKHILL","0-20000-0-03743",45411,51.2017,-1.8058,-0.00629080166780938,0.000287122561118736,-0.0450061167496694,0.00614890896600073,379.074043704845,-3.13923969593092,0.428895031354385,-0.700296459283464,0.0319627563521743,1
"27",26,"CHARLWOOD","0-20000-0-03769",55638,51.08,-0.22,-0.0360649622344908,0.00912385527122694,-0.0738941804281014,0.17045044554504,1111.84618349704,-5.16782811206608,11.9205387950273,-4.01477691667412,1.01567397808006,1
"34",33,"JAEGERSBORG","0-20000-0-06181",46887,55.75,12.52,-0.222958288851125,0.000220857662199592,-0.25546703775891,0,1520.97495054589,-16.0054708315226,0,-24.8198732431642,0.0245859454115548,1
"37",36,"BEAUVECHAIN","0-20000-0-06458",54970,50.7456,4.7633,-0.00023160189953586,0.00392764369523491,-1.53792992154678e-05,0.0130833102734522,143.136429996182,-0.00108365330003054,0.921586038046154,-0.0257819807487813,0.437228060387507,1
"42",41,"TRAPPES","0-20000-0-07145",75843,48.7744,2.0097,-0.198851813321944,0.00955513389381935,-0.0107576023230069,0.149831961091087,1759.21288705229,-0.789212018860441,10.9921488359153,-22.1363234630072,1.06368421019249,1
"43",42,"LYON-ST EXUPERY","0-20000-0-07481",36666,45.75,5.08,-0.139829702564327,0.0317729108038449,-0.197692025858739,0.241794074365339,1396.88456869875,-15.3564208417389,18.7821996268659,-15.5659406569601,3.53698273528792,1
"44",43,"BORDEAUX MERIGNAC","0-20000-0-07510",76792,44.8306,-0.6914,-0.0561437471790924,0,-0.000885801139828946,0.24480171117003,1495.47667187622,-0.0699322992720114,19.3266002859307,-6.2499613527346,0.000134410649456007,1
"46",45,"AJACCIO","0-20000-0-07761",62792,41.9181,8.7928,-0.0467826977799106,0.000789285298075981,-0.00109758346792077,0.0416362790105662,690.535715800402,-0.0909170563266254,3.44889093692053,-5.20788276217065,0.0878637593811441,1
"47",46,"LA CORUNA","0-20000-0-08001",42726,43.3658,-8.4214,-0.0562800648787203,0.0299393828217021,-0.0685892033633664,0.0178567884075651,686.196672540446,-5.55081730506017,1.44512208739511,-6.26513633398829,3.33287311580145,1
"48",47,"SANTANDER","0-20000-0-08023",24544,43.4911,-3.8006,-0.0985225404959422,0.00568285338164998,-0.241799048486071,0.00414368288153266,1451.82555140497,-19.5279469413503,0.334648345985138,-10.967598375853,0.632619225437703,1
"50",49,"BARCELONA SERVEI","0-20000-0-08190",10494,41.3844,2.1181,-0.158563475017203,0.0480282117966482,-0.0874445497319569,0.0718498751462464,1333.83943348101,-7.30362485271048,6.00111204908934,-17.6513973587329,5.34653425593686,1
"52",51,"MURCIA","0-20000-0-08430",26400,38.0019,-1.1708,-0.0691717012148558,0.0602388114653607,-0.10242753534239,0.246702228882141,1627.67824045749,-8.98490581997963,21.6406237588833,-7.70024234141734,6.70582678311211,1
"59",58,"KIEL-HOLTENAU","0-20000-0-10046",21248,54.38,10.15,-0.00308048716195231,0.056076178912285,-0.0670875990698629,0.0071636159958075,612.56383342915,-4.34955250076662,0.464445375269918,-0.342921990359897,6.24243960428798,1
"60",59,"GREIFSWALD","0-20000-0-10184",86969,54.0978,13.4075,-0.0016805959193249,0.0113282381551656,-0.117649944089724,0,500.624287129203,-7.68005155654421,0,-0.187085091299183,1.26106742303112,1
"61",60,"EMDEN-FLUGPLATZ","0-20000-0-10200",49507,53.3894,7.2269,-0.114204077036987,0.048379863444751,-0.0374845951344058,0.05674123707505,1072.91464342038,-2.48855367955391,3.76697711978475,-12.7132780328942,5.38568036374524,1
"62",61,"BERGEN","0-20000-0-10238",58130,52.8153,9.9247,-0.0843094329653553,0.00619807842730324,-0.254996959118351,0.0640939544338508,1073.42134157203,-17.1563693644063,4.31228709499335,-9.38538526767409,0.689974443526146,1
"63",62,"MEPPEN","0-20000-0-10304",29977,52.7156,7.3175,-0.000983648176912766,0.00646912517207454,-0.0204030295693167,0.00313082042493296,369.693406465405,-1.37587709794695,0.211126701566565,-0.109500389054594,0.720147562602777,1
"64",63,"HANNOVER (RADAR)","0-20000-0-10339",48694,52.47,9.7,-0.464171187303911,0.0341324145772006,-0.208856127994549,0.283985494992862,1771.0773107856,-14.1633609518349,19.258175091832,-51.671862442813,3.7996443534695,1
"65",64,"FRITZLAR (FLUGPLATZ)","0-20000-0-10439",27936,51.13,9.28,-0.0148930573568791,0.00357310689015833,-0.0327164045196167,0.00341034220434189,585.237793511207,-2.28556528905628,0.238246203241516,-1.65790559978511,0.397760765284924,1
"70",69,"KUEMMERSBRUCK (10771-0)","0-20000-0-10771",58740,49.4283,11.9022,-0.209797458043894,0.0142337352416959,-0.0128351747925297,0.0458198012200306,1750.87426488174,-0.929303688375351,3.3174857822905,-23.3548003181292,1.58450940156362,1
"71",70,"KLIPPENECK","0-20000-0-10818",19795,47.98,8.9,-0.033147554405808,0.000635058194788485,0,0.0768872155392959,515.6705889319,0,5.72940145205785,-3.69000902621426,0.070695018534308,1
"75",74,"INNSBRUCK-FLUGHAFEN","0-20000-0-11120",11635,47.25977,11.35527,-0.120562857999197,0.00750219222669557,-0.052892079749153,0.047927707036818,1014.37381316924,-3.99603015432372,3.62096866017356,-13.4211419938513,0.835149308737346,1
"76",75,"GRAZ-THALERHOF-FLUGHAFEN","0-20000-0-11240",13715,46.99396,15.44706,-0.116347122905246,0,0,0.014162580631039,774.848050651605,0,1.07535225734398,-12.95184340351,0,1
"79",78,"LEBA","0-20000-0-12120",42431,54.7536,17.5347,-0.194907650887487,0.109057680329435,-0.236047714802645,0.173624642475833,1202.08519065441,-15.1642871332694,11.154077488435,-21.6972565320023,12.1403775384842,1
"80",79,"LEGIONOWO","0-20000-0-12374",65290,52.4078,20.9564,-0.126754189731869,0.024887772065334,-0.419727620973202,0.0974274166533213,1398.00400616118,-28.5035705694191,6.61627397295817,-14.1103653887353,2.77052425778678,1
"81",80,"WROCLAW-STARACHOWICE","0-20000-0-12425",49605,51.1131,16.8811,-0.250248274593098,0.0690329224743635,-0.340494775659494,0.248543008741869,1211.22790759756,-23.7956191578472,17.3695388784695,-27.8578136148415,7.68479339462748,1
"83",82,"ZAGREB/MAKSIMIR","0-20000-0-14240",48949,45.8219,16.0336,-0.0411513653483979,0.00266727370591013,-0.0613256878028672,0.0161679050636643,665.825142446486,-4.75754853773185,1.2542801808233,-4.58099887984462,0.296922783952418,1
"85",84,"CONSTANTA","0-20000-0-15480",30075,44.22,28.63,-0.000966535748588626,0,0,0.00193431948592249,56.2959967399003,0,0.154319816251339,-0.107595452039364,0,1
"87",86,"CUNEO-LEVALDIGI RDS","0-20000-0-16113",12918,44.5392,7.6125,-0.0196849460947277,0.114721429291038,-0.0627914198399839,0.0817329896143351,1436.92847094406,-4.98225662935577,6.48519691542932,-2.19134202080992,12.7708700492619,1
"91",90,"THESSALONIKI (AIRPORT)","0-20000-0-16622",38457,40.5272,22.9714,-0.256093650969198,0.0782828821154595,-0.178134176511126,0.162694731558947,1769.14420578787,-15.0727486140617,13.7663468451099,-28.5085250167253,8.71450539579177,1
"92",91,"ATHINAI HELLINIKON","0-20000-0-16716",77515,37.8897,23.7417,-0.227841093258149,0.00614701802248874,-0.0787763559572845,0.168763755112732,1704.87341989742,-6.92079303163784,14.8265159212839,-25.3634304577055,0.684290359037057,1
"93",92,"HERAKLEION (AIRPORT)","0-20000-0-16754",47713,35.3353,25.1819,-0.286474502684541,0.110104208081204,-0.0598835503541402,0.30986272855915,1613.00415453809,-5.43822633403754,28.1396640472431,-31.8905427588603,12.2568777422706,1
"96",95,"ERZURUM BOLGE","0-20000-0-17095",10474,39.9,41.2833,-0.00740177426065003,0.000561966934704117,-1.30849871027294e-05,0.0103743681784678,589.807986850462,-0.00111649870820159,0.885985187841446,-0.823970708309034,0.0625585919232546,1
"98",97,"MURMANSK (22113-0)","0-20000-0-22113",63326,68.98556,33.13556,-0.01254481181941,0.00297144208623479,0,0.0779312450730245,282.526300803426,-9.50426816940308e-05,3.11101218746879,-1.39649725850939,0.33078303812671,1
