,name,statid,ascents,lat,lon,min_lat_d,max_lat_d,min_lon_d,max_lon_d,max_time
0,BODO VI,0-20000-0-01152,39318,67.2851,14.4542,-0.31640493978011364,0.07457897768401267,-0.057933183659505616,0.6602071138720458,2026.0416553354698
1,NAIMAKKA,0-20000-0-02055,4,68.68,21.53,-0.019102524844583968,0.003132656982899107,-0.0032714445079733423,0.2347823819703052,1166.0880650980982
2,LULEA-KALLAX (2185-0),0-20000-0-02185,44027,65.54331,22.11453,-0.0003508801977574194,0.01715406555933896,-0.005499008577000808,0.04509592783409033,396.67951128937113
3,SUNDSVALL HARNOSAND (2365-0),0-20000-0-02365,57238,62.5317,17.4361,-0.0037205848613197645,0.0,0.0,0.0052571811341195485,107.2961699507229
4,VISBY AEROLOGISKA STATION,0-20000-0-02591,43231,57.67083,18.34531,-0.011137536564291395,0.008686091558502085,-0.02854116944002172,0.010024328441044617,388.94897518916935
5,SODANKYLA ARCTIC RESEARCH CENTRE,0-20000-0-02836,67088,67.3667,26.6289,-0.026194123399307045,0.03107092716010129,-0.2239095160682858,0.07260644692135543,893.0658756145599
6,JYVASKYLA AIRPORT,0-20000-0-02935,57294,62.3973,25.6712,-0.011352814258039245,0.005489328897638757,-0.19643028309922528,0.00796223912929861,1006.6670781147218
7,JOKIOINEN OBSERVATORY,0-20000-0-02963,66311,60.8139,23.4975,-0.05826996968832532,0.04293964090253155,-0.04989911743295039,0.021858284395975147,626.5771791090502
8,PARAINEN UTO,0-20000-0-02981,64,59.78,21.38,-0.05536589176094964,0.017021504355021477,-0.0017159880906234548,0.1473707763869747,557.9460905977211
9,BALTASOUND NO 2,0-20000-0-03002,8,60.85,-0.88,-0.005489907303953601,0.006392104507099816,-0.03295710163821364,0.11173674352309249,1057.9429368224767
10,LERWICK,0-20000-0-03005,90569,60.1392,-1.1847,-0.18918272687891147,0.22095738701820977,-0.04196706775454517,0.46366985287808404,2439.185216364385
11,SOUTH UIST RANGE,0-20000-0-03023,764,57.3575,-7.385,-0.006103295433341316,0.0,-0.01075673090080631,0.0486886041183352,875.1568546817994
12,STORNOWAY AIRPORT,0-20000-0-03026,75886,58.22,-6.32,-0.3664439809656628,0.09957695858118853,-0.3854462549385387,0.18534963672170068,3240.778103261481
13,WEST FREUGH,0-20000-0-03132,258,54.86,-4.94,-0.004435371563005219,0.00033032523128895264,-0.013108710637929732,0.012990981906151333,125.17078560124584
14,ESKDALEMUIR,0-20000-0-03162,288,55.32,-3.2,-0.18482349287544508,0.14294321624586814,-0.356662458002321,0.6811639637447904,1337.485623844466
15,LEUCHARS,0-20000-0-03171,61046,56.4,-2.87,-0.09022809514811314,0.005083760747858435,-0.07483057278355298,0.06472114110763094,1131.3360312944903
